Id,SalePrice
1461,168328.79250021855
1462,168328.79250021855
1463,168328.79250021913
1464,168328.79250021855
1465,168328.79250021974
1466,168328.79560668117
1467,168328.79250021855
1468,168328.76757302176
1469,168328.79250022303
1470,168328.7924816158
1471,168328.79250072237
1472,140157.13022011134
1473,168245.52301429355
1474,168058.42888323416
1475,168328.79250021855
1476,168328.79250021855
1477,168328.79250021855
1478,168328.79250021855
1479,168328.79250021855
1480,168328.79250021855
1481,168328.79250021855
1482,168572.7011024695
1483,168328.79250021855
1484,168328.79250798927
1485,168328.79250021855
1486,168329.86961139462
1487,168328.79250021855
1488,168328.32375790147
1489,168328.79250018654
1490,168328.7925002323
1491,168328.7958286617
1492,168328.79231068172
1493,168328.79250021855
1494,168328.79250021855
1495,168328.79250627622
1496,168328.79250021855
1497,168328.79098811516
1498,168328.79241777823
1499,168328.79246862105
1500,168328.79250021404
1501,168328.79250021855
1502,168328.79248750274
1503,168328.79250021884
1504,168328.79250021855
1505,168328.79250021855
1506,168328.79250021855
1507,168328.79250021855
1508,168328.79250021855
1509,168328.77322647412
1510,168328.7924999267
1511,168327.95958642865
1512,168328.79250034533
1513,168328.79249863976
1514,168328.79250021855
1515,168328.79250021855
1516,168328.79250021855
1517,168328.79250021855
1518,168328.79250424862
1519,168328.79250026756
1520,168328.3031615628
1521,168317.9127236737
1522,168328.79250021855
1523,168294.21047264605
1524,168328.59031440428
1525,168328.5574825114
1526,168328.79250021855
1527,168328.7925001321
1528,168328.79250021855
1529,168328.79240691694
1530,168328.79250021855
1531,168328.79250021855
1532,168328.79250021855
1533,168328.79250021855
1534,168328.79250021855
1535,168328.79250021855
1536,168328.79250021855
1537,168328.7923674635
1538,168328.79250021855
1539,168328.79250021855
1540,168328.79250021855
1541,168328.79250021855
1542,168328.79250021855
1543,168328.79250036716
1544,168326.12539197516
1545,168328.72669094364
1546,168327.11799531357
1547,168328.79250021226
1548,168328.79250021855
1549,168328.79250021855
1550,168328.57594990023
1551,168328.79250021855
1552,168328.79250021855
1553,168328.79250021855
1554,168328.5447904673
1555,168328.79250021855
1556,168328.79249998083
1557,168328.79250021855
