Id,SalePrice
1461,116747.73444211838
1462,155128.33317355035
1463,176893.8628592237
1464,200079.56178917445
1465,191478.2521461047
1466,170426.90643197473
1467,177852.32570730822
1468,164105.29354983714
1469,191007.51940148964
1470,117914.0268082054
1471,191358.95270485993
1472,99796.67363696062
1473,96067.30510729352
1474,145361.88422999615
1475,118002.51944261586
1476,354557.30590085156
1477,249315.1906288496
1478,272622.2247601285
1479,268110.5010716646
1480,518151.0076296692
1481,332609.9436436019
1482,210416.9010555052
1483,174866.43271278488
1484,166233.4040144195
1485,186753.47432893823
1486,196376.8876585354
1487,321828.2742291051
1488,234478.65611126734
1489,192786.31947261497
1490,239990.4234177156
1491,193225.6804057801
1492,90129.28456971986
1493,171850.74953888278
1494,283318.91630320234
1495,282773.02753292985
1496,235166.06780907064
1497,178401.74326008704
1498,173148.48751363554
1499,160111.12308106796
1500,156469.1404002648
1501,179867.95100789482
1502,151160.9576479749
1503,288097.47981423716
1504,243422.7840388597
1505,228112.39684420274
1506,190876.9551576705
1507,265679.6583858425
1508,201095.34631603927
1509,160294.56241809743
1510,144311.18368070078
1511,155112.2951143664
1512,175389.6649195449
1513,146683.34471539955
1514,154982.71015466913
1515,200386.17461250265
1516,154225.5883256307
1517,171245.98813199333
1518,129415.89835877578
1519,214574.7530054064
1520,128805.68913215671
1521,131183.09970149252
1522,181528.8781335979
1523,110766.9243865179
1524,121276.7960995492
1525,124622.33996184288
1526,110156.23868706192
1527,105317.44442989062
1528,141686.87279496883
1529,153406.0117434605
1530,198403.4511740297
1531,104705.79987838434
1532,95948.93667115232
1533,154588.30149146702
1534,120450.23532922703
1535,147901.9705656417
1536,107205.489505493
1537,61698.26042307533
1538,150493.12206578816
1539,191664.5986693434
1540,95290.36412634981
1541,137655.45969752577
1542,140983.55889302347
1543,195165.76495383464
1544,87703.04554196564
1545,116776.42928631314
1546,134384.4942748021
1547,131794.92160636434
1548,136298.33161186567
1549,123263.66206111255
1550,132246.8259000555
